2025-05-09 14:32:28 | TracerPid检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-09 14:32:28 | PTRACE检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-09 14:32:28 | TracerPid检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-09 14:32:28 | PTRACE检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-09 14:32:28 | 内存映射检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 中
2025-05-09 14:32:28 | 父进程检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 中
2025-05-09 14:32:28 | 执行时间检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 低
2025-05-09 14:32:28 | TracerPid检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-09 14:32:28 | PTRACE检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-09 14:32:28 | 虚拟化环境检测 | 检测到调试器 | 置信度: 26% | 可靠性: 中
2025-05-09 14:32:28 | 进程状态检测 | 未检测到调试器 | 置信度: 13% | 可靠性: 中
2025-05-09 14:32:28 | 执行时间检测 | 未检测到调试器 | 置信度: 12% | 可靠性: 低
2025-05-09 18:30:45 | TracerPid检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-09 18:30:45 | PTRACE检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-09 18:30:45 | TracerPid检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-09 18:30:45 | PTRACE检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-09 18:30:45 | 进程等待通道检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 中
2025-05-09 18:30:45 | 内存映射检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 中
2025-05-09 18:30:45 | 执行时间检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 低
2025-05-09 18:30:45 | TracerPid检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-09 18:30:45 | PTRACE检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-09 18:30:45 | 内存映射检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 中
2025-05-09 18:30:45 | 进程等待通道检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 中
2025-05-09 18:30:45 | 执行时间检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 低
2025-05-09 18:30:50 | TracerPid检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-09 18:30:50 | PTRACE检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-09 18:30:50 | 内存映射检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 中
2025-05-09 18:30:50 | 环境变量检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 中
2025-05-09 18:30:50 | 执行时间检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 低
2025-05-09 18:32:44 | TracerPid检测 | 检测到调试器 | 置信度: 100% | 可靠性: 高
2025-05-09 18:32:44 | 警告: 检测到调试器! 置信度: 100% | 检测方法: TracerPid检测
2025-05-09 18:32:44 | TracerPid检测 | 检测到调试器 | 置信度: 100% | 可靠性: 高
2025-05-09 18:32:44 | 警告: 检测到调试器! 置信度: 100% | 检测方法: TracerPid检测
2025-05-09 18:32:49 | TracerPid检测 | 检测到调试器 | 置信度: 100% | 可靠性: 高
2025-05-09 18:32:49 | 警告: 检测到调试器! 置信度: 100% | 检测方法: TracerPid检测
2025-05-09 18:32:54 | TracerPid检测 | 检测到调试器 | 置信度: 100% | 可靠性: 高
2025-05-09 18:32:54 | 警告: 检测到调试器! 置信度: 100% | 检测方法: TracerPid检测
